Name,Address,Category,Quarter,Note
Bauhaus Archive,"Klingelhöferstraße 14, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,Icône Bauhaus reconnaissable à ses sheds et sa silhouette industrielle blanche.
Interbau Apartment House / Oscar Niemeyer,"Altonaer Str. 6, 10557 Berlin, Allemagne",Architecture & photo,Hansaviertel,"Immeuble Interbau de Niemeyer : pilotis, façade rythmée et modernisme des années 1950."
Berlin-Hansaviertel,"Altonaer Str. 22, 10557 Berlin, Allemagne",Quartiers & ambiances,Hansaviertel,"Musée à ciel ouvert de l’Interbau 1957, avec Aalto, Niemeyer, Gropius et autres modernistes."
Tour radio de Berlin,"Hammarskjöldpl., 14055 Berlin, Allemagne",Architecture & photo,Westend,"Grande structure métallique du Funkturm, intéressante en contre-plongée et à l’heure bleue."
Klunkerkranich,"Karl-Marx-Straße 66, 12043 Berlin-Bezirk Neukölln, Allemagne",Cafés & bars,Neukölln,"Rooftop alternatif avec vue urbaine, structures bricolées et lumière de fin de journée."
Badeschiff,"Eichenstraße 4, 12435 Berlin-Bezirk Friedrichshain-Kreuzberg, Allemagne",Quartiers & ambiances,Alt-Treptow,"Piscine flottante sur la Spree, containers, eau et paysage industriel."
Shell-Haus,"Reichpietschufer 60-62, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,Façade ondulée emblématique de la Nouvelle Objectivité.
Dong Xuan Center,"Herzbergstraße 128-139, 10365 Bezirk Lichtenberg, Allemagne",Quartiers & ambiances,Lichtenberg,"Halles vietnamiennes, enseignes, couleurs et atmosphère très différente du centre de Berlin."
St. Agnes,"Alexandrinenstraße 118-121, 10969 Berlin, Allemagne",Architecture & photo,Kreuzberg,Ancienne église brutaliste transformée en galerie : béton monumental et lumière austère.
Kulturforum,"Matthäikirchplatz, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,"Ensemble culturel moderniste : espaces ouverts, musées et grands volumes."
Philharmonie de Berlin,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,"Hans Scharoun : formes organiques, toiture dorée et architecture expressionniste."
Kammermusiksaal - Berlin,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,"Salle de musique aux volumes géométriques, complément naturel de la Philharmonie."
Musée des arts décoratifs,"Matthäikirchplatz, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,Le Kunstgewerbemuseum de Rolf Gutbrod : modernisme tardif et intérieurs graphiques.
Sony-Center,"Potsdamer Platz, 10785 Berlin, Allemagne",Architecture & photo,Potsdamer Platz,"Le désormais Center am Potsdamer Platz : spectaculaire toiture tendue, verre et lumière nocturne."
Tempelhofer Feld,"Columbiadamm 124, 10965 Berlin, Allemagne",Quartiers & ambiances,Tempelhof,"Ancien aéroport devenu parc immense : pistes, horizon dégagé et architecture monumentale."
Berghain,"Am Wriezener Bahnhof, 10243 Berlin, Allemagne",Architecture & photo,Friedrichshain,"Ancienne centrale électrique, façade industrielle monumentale et atmosphère brute."
RAW-Gelände,"Revaler Str. 99, 10245 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Friches ferroviaires, street art, briques et culture alternative."
East Side Gallery,"Mühlenstraße, 10243 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Mur, fresques et longues perspectives urbaines au bord de la Spree."
Oberbaumbrücke,"Oberbaumbrücke, 10243 Berlin, Allemagne",Architecture & photo,Friedrichshain / Kreuzberg,"Pont néogothique iconique, arches, métro et vues sur la Spree."
Paulsternstr.,"Paulsternstraße / Nonnendammallee, 13599 Berlin, Allemagne",Métro & transport,Spandau,"Station U7 très colorée des années 1980, idéale pour lignes, symétries et ambiance rétro."
Rohrdamm,"Rohrdamm, 13629 Berlin, Allemagne",Métro & transport,Siemensstadt,"Station U7 au graphisme marqué, carreaux et esthétique industrielle."
Galerie James Simon,"Bodestraße 1-3, 10178 Berlin, Allemagne",Architecture & photo,Mitte,David Chipperfield : colonnade contemporaine et dialogue avec l’Île aux Musées.
Fehrbelliner Platz,"10707 Berlin, Allemagne",Métro & transport,Wilmersdorf,"Ensemble urbain et station aux couleurs fortes, typique de Berlin-Ouest."
Marie-Elisabeth-Lüders-Haus,"Adele-Schreiber-Krieger-Straße 1, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Architecture du Bundestag au bord de la Spree, grandes lignes et ouvertures circulaires."
FORUM KUNST im Bundestag,"Luisenstraße 30, 10117 Berlin, Allemagne",Culture & musées,Mitte,Art contemporain au cœur du quartier parlementaire.
Maison des cultures du monde,"John-Foster-Dulles-Allee 10, 10557 Berlin, Allemagne",Architecture & photo,Tiergarten,La “Schwangere Auster” : toit courbe spectaculaire et bassin réfléchissant.
Paul Loebe Building,"Konrad-Adenauer-Straße 1, 10557 Berlin, Allemagne",Architecture & photo,Mitte,"Façades vitrées, cylindres et passerelles dans le complexe parlementaire."
3XN Cube Berlin,"Washingtonpl. 3, 10557 Berlin, Allemagne",Architecture & photo,Hauptbahnhof,Cube de verre miroir face à la Hauptbahnhof : reflets et déformations de la ville.
Bierpinsel,"Schloßstraße 17, 12163 Berlin, Allemagne",Architecture & photo,Steglitz,"Tour pop-futuriste des années 1970, l’un des objets architecturaux les plus étranges de Berlin."
Kantgaragenpalast,"Kant-Garage, Kantstraße 127, 10625 Berlin, Allemagne",Architecture & photo,Charlottenburg,Garage moderniste aux rampes hélicoïdales et façade industrielle.
Ludwig Erhard Haus,"Fasanenstraße 85, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Architecture high-tech surnommée “Armadillo”, charpente métallique spectaculaire."
ICC,"Messedamm, 14055 Berlin, Allemagne",Architecture & photo,Westend,"Vaisseau spatial brutaliste/high-tech, immense et très photogénique depuis l’extérieur."
Minimal Bar,"Rigaer Str. 31, 10247 Berlin-Bezirk Friedrichshain-Kreuzberg, Allemagne",Cafés & bars,Friedrichshain,"Bar berlinois décontracté, ping-pong, lumière tamisée et ambiance locale."
Musée Futurium,"Alexanderufer 2, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Façade métallique, lignes futuristes et skywalk sur le toit."
Rüyam Gemüse Kebab,"Hauptstraße 36, 10827 Berlin, Allemagne",Manger & boire,Schöneberg,"Adresse populaire pour un döner berlinois, utile comme pause gourmande."
Rüyam Gemüse Kebab,"Schönhauser Allee 44A, 10435 Berlin-Bezirk Pankow, Allemagne",Manger & boire,Prenzlauer Berg,"Adresse populaire pour un döner berlinois, utile comme pause gourmande."
Deutsche Kinemathek,"Mauerstraße 79, 10117 Berlin, Allemagne",Culture & musées,Mitte,"Cinéma, photographie et archives : nouvelle implantation centrale."
KAOS Berlin,"Wilhelminenhofstraße 92, 12459 Berlin-Bezirk Treptow-Köpenick, Allemagne",Quartiers & ambiances,Oberschöneweide,Espace créatif au bord de la Spree dans un environnement industriel.
kioski,"Köpenicker Str. 20, 10997 Berlin, Allemagne",Manger & boire,Kreuzberg,Petite adresse urbaine à garder comme halte dans la zone Kreuzberg.
K67 BERLIN,"Leipziger Str. 61, 10117 Berlin, Allemagne",Auto & insolite,Mitte,Petit objet de design urbain/K67 à repérer pour son esthétique rétro-futuriste.
Das Kleine Grosz Museum,"Bülowstraße 18, 10783 Berlin, Allemagne",Culture & musées,Schöneberg,Petit musée dédié à George Grosz dans une ancienne station-service reconvertie.
Berolinahaus,"Berolinahaus, Alexanderpl. 1, 10178 Berlin, Allemagne",Architecture & photo,Mitte,"Peter Behrens à Alexanderplatz : Nouvelle Objectivité, trame répétitive et histoire berlinoise."
Kath. Gemeinde St. Martin Berlin-Kaulsdorf,"Nentwigstraße 1, 12621 Berlin, Allemagne",Architecture & photo,Kaulsdorf,"Église de 1929-30 en brique, entre expressionnisme et Nouvelle Objectivité."
