id,name,address,category,quarter,note,photoQuery,photoUrl,photoFile,lat,lng,kind,source
23,Philharmonie de Berlin,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,"Hans Scharoun : formes organiques, toiture dorée et architecture expressionniste.",Berliner Philharmonie Scharoun,,,52.5092,13.3697,,Liste Maps + vérification V2
24,Kammermusiksaal - Berlin,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,"Salle de musique aux volumes géométriques, complément naturel de la Philharmonie.",Kammermusiksaal Berlin architecture,,,52.509419,13.369053,,Liste Maps + vérification V2
25,Musée des arts décoratifs,"Matthäikirchplatz, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,Le Kunstgewerbemuseum de Rolf Gutbrod : modernisme tardif et intérieurs graphiques.,Kunstgewerbemuseum Berlin Kulturforum,,,52.50978,13.36733,,Liste Maps + vérification V2
26,Sony-Center,"Potsdamer Platz, 10785 Berlin, Allemagne",Architecture & photo,Potsdamer Platz,"Le désormais Center am Potsdamer Platz : spectaculaire toiture tendue, verre et lumière nocturne.",Sony Center Berlin Potsdamer Platz roof,,,52.51018,13.37352,,Liste Maps + vérification V2
27,Tempelhofer Feld,"Columbiadamm 124, 10965 Berlin, Allemagne",Quartiers & ambiances,Tempelhof,"Ancien aéroport devenu parc immense : pistes, horizon dégagé et architecture monumentale.",Tempelhofer Feld Berlin,,,52.473306,13.401389,,Liste Maps + vérification V2
28,Berghain,"Am Wriezener Bahnhof, 10243 Berlin, Allemagne",Architecture & photo,Friedrichshain,"Ancienne centrale électrique, façade industrielle monumentale et atmosphère brute.",Berghain Berlin building Am Wriezener Bahnhof,,,52.51117,13.44304,,Liste Maps + vérification V2
29,RAW-Gelände,"Revaler Str. 99, 10245 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Friches ferroviaires, street art, briques et culture alternative.",RAW Gelände Berlin Revaler Straße,,RAW Berlin Revaler Straße.jpg,52.50708,13.45456,,Liste Maps + vérification V2
30,East Side Gallery,"Mühlenstraße, 10243 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Mur, fresques et longues perspectives urbaines au bord de la Spree.",East Side Gallery Berlin,,,52.5031,13.4447,,Liste Maps + vérification V2
31,Oberbaumbrücke,"Oberbaumbrücke, 10243 Berlin, Allemagne",Architecture & photo,Friedrichshain / Kreuzberg,"Pont néogothique iconique, arches, métro et vues sur la Spree.",Oberbaumbrücke Berlin,,,52.50173,13.44566,,Liste Maps + vérification V2
32,Paulsternstr.,"Paulsternstraße / Nonnendammallee, 13599 Berlin, Allemagne",Métro & transport,Spandau,"Station U7 très colorée des années 1980, idéale pour lignes, symétries et ambiance rétro.",U Bahnhof Paulsternstrasse Berlin,,,52.53806,13.24747,,Liste Maps + vérification V2
33,Rohrdamm,"Rohrdamm, 13629 Berlin, Allemagne",Métro & transport,Siemensstadt,"Station U7 au graphisme marqué, carreaux et esthétique industrielle.",U Bahnhof Rohrdamm Berlin,,,52.537222,13.2625,,Liste Maps + vérification V2
34,James-Simon-Galerie,"Bodestraße 1-3, 10178 Berlin, Allemagne",Architecture & photo,Mitte,David Chipperfield : colonnade contemporaine et dialogue avec l’Île aux Musées.,James-Simon-Galerie Berlin Museumsinsel,,James-Simon-Galerie.jpg,52.51994,13.39711,,Liste Maps + vérification V2
35,Fehrbelliner Platz,"10707 Berlin, Allemagne",Métro & transport,Wilmersdorf,"Ensemble urbain et station aux couleurs fortes, typique de Berlin-Ouest.",U Bahnhof Fehrbelliner Platz Berlin,,,52.490278,13.314444,,Liste Maps + vérification V2
36,Marie-Elisabeth-Lüders-Haus,"Adele-Schreiber-Krieger-Straße 1, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Architecture du Bundestag au bord de la Spree, grandes lignes et ouvertures circulaires.",Marie Elisabeth Lüders Haus Berlin,,,52.520306,13.377806,,Liste Maps + vérification V2
37,FORUM KUNST im Bundestag,"Luisenstraße 30, 10117 Berlin, Allemagne",Culture & musées,Mitte,Art contemporain au cœur du quartier parlementaire.,Marie Elisabeth Lüders Haus Forum Kunst Bundestag Berlin,,,52.52055,13.3774,,Liste Maps + vérification V2
38,Maison des cultures du monde,"John-Foster-Dulles-Allee 10, 10557 Berlin, Allemagne",Architecture & photo,Tiergarten,La “Schwangere Auster” : toit courbe spectaculaire et bassin réfléchissant.,Haus der Kulturen der Welt Berlin,,,52.51874,13.36485,,Liste Maps + vérification V2
39,Paul Loebe Building,"Konrad-Adenauer-Straße 1, 10557 Berlin, Allemagne",Architecture & photo,Mitte,"Façades vitrées, cylindres et passerelles dans le complexe parlementaire.",Paul Löbe Haus Berlin,,,52.520278,13.374722,,Liste Maps + vérification V2
40,Cube Berlin (3XN),"Washingtonpl. 3, 10557 Berlin, Allemagne",Architecture & photo,Hauptbahnhof,Cube de verre miroir face à la Hauptbahnhof : reflets et déformations de la ville.,Cube Berlin Washingtonplatz,,Cube Berlin.jpg,52.52355,13.36922,,Liste Maps + vérification V2
41,Bierpinsel,"Schloßstraße 17, 12163 Berlin, Allemagne",Architecture & photo,Steglitz,"Tour pop-futuriste des années 1970, l’un des objets architecturaux les plus étranges de Berlin.",Bierpinsel Berlin,,,52.461389,13.324444,,Liste Maps + vérification V2
42,Kantgaragenpalast,"Kant-Garage, Kantstraße 127, 10625 Berlin, Allemagne",Architecture & photo,Charlottenburg,Garage moderniste aux rampes hélicoïdales et façade industrielle.,Kant Garagen Berlin,,,52.505806,13.311889,,Liste Maps + vérification V2
43,Ludwig Erhard Haus,"Fasanenstraße 85, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Architecture high-tech surnommée “Armadillo”, charpente métallique spectaculaire.",Ludwig Erhard Haus Berlin,,,52.506694,13.328306,,Liste Maps + vérification V2
44,ICC,"Messedamm, 14055 Berlin, Allemagne",Architecture & photo,Westend,"Vaisseau spatial brutaliste/high-tech, immense et très photogénique depuis l’extérieur.",ICC Berlin architecture,,,52.504389,13.280611,,Liste Maps + vérification V2
45,Minimal Bar,"Rigaer Str. 31, 10247 Berlin-Bezirk Friedrichshain-Kreuzberg, Allemagne",Cafés & bars,Friedrichshain,"Bar berlinois décontracté, ping-pong, lumière tamisée et ambiance locale.",Minimal Bar Rigaer Straße 31 Berlin,,,52.5164,13.4641,,Liste Maps + vérification V2
46,Musée Futurium,"Alexanderufer 2, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Façade métallique, lignes futuristes et skywalk sur le toit.",Futurium Berlin architecture,,,52.524022,13.374372,,Liste Maps + vérification V2
47,Rüyam Gemüse Kebab,"Hauptstraße 36, 10827 Berlin, Allemagne",Manger & boire,Schöneberg,"Adresse populaire pour un döner berlinois, utile comme pause gourmande.",Rüyam Gemüse Kebap Hauptstraße 36 Berlin,https://rueyam.de/assets/img/Interior/ruyam_1_1.webp,,52.4868,13.3557,,Liste Maps + vérification V2
48,Rüyam Gemüse Kebab,"Schönhauser Allee 44A, 10435 Berlin-Bezirk Pankow, Allemagne",Manger & boire,Prenzlauer Berg,"Adresse populaire pour un döner berlinois, utile comme pause gourmande.",Rüyam Gemüse Kebap Schönhauser Allee 44A Berlin,https://rueyam.de/assets/img/Interior/ruyam_2_1.webp,,52.5405,13.41255,,Liste Maps + vérification V2
49,Deutsche Kinemathek,"Mauerstraße 79, 10117 Berlin, Allemagne",Culture & musées,Mitte,"Cinéma, photographie et archives : nouvelle implantation centrale.",E-Werk Berlin Mauerstraße 79 Deutsche Kinemathek,,,52.50861,13.38713,,Liste Maps + vérification V2
50,KAOS Berlin,"Wilhelminenhofstraße 92, 12459 Berlin-Bezirk Treptow-Köpenick, Allemagne",Quartiers & ambiances,Oberschöneweide,Espace créatif au bord de la Spree dans un environnement industriel.,Wilhelminenhofstraße 92 Oberschöneweide KAOS Berlin,,,52.462745,13.509259,,Liste Maps + vérification V2
51,kioski,"Köpenicker Str. 20, 10997 Berlin, Allemagne",Manger & boire,Kreuzberg,Petite adresse urbaine à garder comme halte dans la zone Kreuzberg.,kioski Köpenicker Straße 20 Berlin K67 kiosk,,,52.5059534,13.4324698,,Liste Maps + vérification V2
52,K67 BERLIN,"Leipziger Str. 61, 10117 Berlin, Allemagne",Auto & insolite,Mitte,Petit objet de design urbain/K67 à repérer pour son esthétique rétro-futuriste.,K67 Berlin Leipziger Straße 61 kiosk,,,52.5108,13.3999,,Liste Maps + vérification V2
53,Das kleine Grosz Museum,"Bülowstraße 18, 10783 Berlin, Allemagne",Culture & musées,Schöneberg,Petit musée dédié à George Grosz dans une ancienne station-service reconvertie.,Das kleine Grosz Museum Bülowstraße 18 Berlin,,,52.49786,13.35973,,Liste Maps + vérification V2
54,Berolinahaus,"Berolinahaus, Alexanderpl. 1, 10178 Berlin, Allemagne",Architecture & photo,Mitte,"Peter Behrens à Alexanderplatz : Nouvelle Objectivité, trame répétitive et histoire berlinoise.",Berolinahaus Alexanderplatz Berlin,,Berlin - Berolinahaus.jpg,52.5215,13.4125,,Liste Maps + vérification V2
55,Kath. Gemeinde St. Martin Berlin-Kaulsdorf,"Nentwigstraße 1, 12621 Berlin, Allemagne",Architecture & photo,Kaulsdorf,"Église de 1929-30 en brique, entre expressionnisme et Nouvelle Objectivité.",St Martin Kirche Berlin Kaulsdorf,,,52.5149,13.60363,,Liste Maps + vérification V2
56,Heidelberger Platz,"Heidelberger Platz, 10713 Berlin, Allemagne",Métro & transport,Wilmersdorf,"Station U-Bahn historique aux voûtes très graphiques, intéressante pour les perspectives et répétitions.",U-Bahnhof Heidelberger Platz Berlin,,,52.479808,13.313236,,Ajout V2
57,Wittenbergplatz,"Wittenbergplatz 1, 10789 Berlin, Allemagne",Métro & transport,Schöneberg,"Station historique d’Alfred Grenander : hall, typographie et détails du métro berlinois.",U-Bahnhof Wittenbergplatz Berlin,,,52.501889,13.342806,,Ajout V2
58,Teufelsberg,"Teufelsseechaussee 10, 14193 Berlin, Allemagne",Auto & insolite,Grunewald,"Ancienne station d’écoute : radômes, béton, street art et vues sur Berlin.",Teufelsberg Berlin listening station radomes,,,52.497368,13.240597,,Ajout V2
59,Akademie der Künste – Hanseatenweg,"Hanseatenweg 10, 10557 Berlin, Allemagne",Architecture & photo,Hansaviertel,"Architecture moderniste de l’Interbau, patios, transparences et volumes bas.",Akademie der Künste Hanseatenweg Berlin,,,52.517889,13.346111,,Ajout V2
60,Ernst-Reuter-Platz,"Ernst-Reuter-Platz, 10587 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Grand ensemble moderniste circulaire, circulation, façades et perspectives urbaines.",Ernst Reuter Platz Berlin architecture,,,52.512639,13.321889,,Ajout V2
61,Bikini Berlin,"Budapester Str. 38-50, 10787 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Modernisme réhabilité, grandes baies et vues vers le zoo et Breitscheidplatz.",Bikini Berlin building,,,52.505389,13.336194,,Ajout V2
62,Upper West,"Kantstraße 163-165, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Tour contemporaine très graphique, lignes verticales et contraste avec l’église du Souvenir.",Upper West Berlin tower,,Berlin - Upper West.jpg,52.5059,13.3327,,Ajout V2
63,silent green Kulturquartier,"Gerichtstraße 35, 13347 Berlin, Allemagne",Culture & musées,Wedding,"Ancien crématorium reconverti en lieu culturel : symétrie, coupole et atmosphère singulière.",silent green Kulturquartier Berlin,,,52.54569,13.36628,,Ajout V2
64,DARK MATTER,"Köpenicker Chaussee 46, 10317 Berlin, Allemagne",Culture & musées,Lichtenberg,Installations de lumière immersives : intéressant pour une parenthèse visuelle très graphique.,DARK MATTER Berlin Köpenicker Chaussee,,,52.4943,13.4947,,Ajout V2
65,Deutsches Historisches Museum – Pei-Bau,"Hinter dem Gießhaus 3, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Extension d’I. M. Pei : verre, pierre et escalier hélicoïdal très photogénique.",Pei Bau Deutsches Historisches Museum Berlin,,,52.5177,13.3967,,Ajout V2
66,Motorwerk Berlin,"An der Industriebahn 12, 13088 Berlin, Allemagne",Architecture & photo,Weißensee,"Grande halle industrielle en brique, charpente et proportions monumentales.",Motorwerk Berlin Weißensee,,,52.563592,13.461189,,Ajout V2
67,Napoleon Komplex,"Modersohnstraße 35-45, 10245 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Ancien complexe industriel devenu lieu culturel, entre briques, cour et ambiance alternative.",Napoleon Komplex Berlin,,,52.50358,13.45853,,Ajout V2
68,Kühlhaus Berlin,"Luckenwalder Str. 3, 10963 Berlin, Allemagne",Architecture & photo,Kreuzberg,"Ancien entrepôt frigorifique monumental près de Gleisdreieck, volumes industriels très forts.",Kühlhaus Berlin Luckenwalder Straße,,"Kühlhaus am Gleisdreieck, Luckenwalder Straße 3, Berlin-Kreuzberg-40660.jpg",52.49965,13.37648,,Ajout V2
69,Malzfabrik,"Bessemerstraße 2-14, 12103 Berlin, Allemagne",Architecture & photo,Tempelhof,"Patrimoine industriel de brique, cheminées, cours et reconversion créative.",Malzfabrik Berlin,,,52.46659,13.36532,,Ajout V2
70,Kraftwerk Berlin,"Köpenicker Str. 70, 10179 Berlin, Allemagne",Architecture & photo,Mitte,"Ancienne centrale électrique : béton brut, échelle monumentale et esthétique industrielle.",Kraftwerk Berlin Köpenicker Straße,,,52.510806,13.419806,,Ajout V2
71,Urban Nation,"Bülowstraße 7, 10783 Berlin, Allemagne",Culture & musées,Schöneberg,"Musée et façade dédiés à l’art urbain, très changeants et colorés.",Urban Nation Berlin Bülowstraße,,,52.49867,13.35665,,Ajout V2
72,Mediaspree,"Mühlenstraße / Warschauer Straße, 10243 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain / Kreuzberg,"Secteur de la Spree mêlant nouveaux bureaux, patrimoine industriel, ponts et grands axes.",Mediaspree Berlin architecture,,,52.5047,13.4478,,Ajout V2
73,Europacity,"Heidestraße / Invalidenstraße, 10557 Berlin, Allemagne",Quartiers & ambiances,Moabit / Hauptbahnhof,"Quartier contemporain au nord de Hauptbahnhof : façades neuves, lignes et grands espaces.",Europacity Berlin Heidestraße architecture,,,52.5289,13.36919,,Ajout V2
74,ibis Styles Berlin Mitte,"Brunnenstraße 1-2, 10119 Berlin, Allemagne",Repères du séjour,Mitte,Ton logement à Berlin : repère pratique pour situer les spots et les trajets.,ibis Styles Berlin Mitte Brunnenstraße,,,52.530071,13.401002,hotel,Ajout V2
75,Messe Berlin,"Messedamm 22, 14055 Berlin, Allemagne",Repères du séjour,Westend,Ton lieu de travail à Berlin : point de référence pour organiser les sorties avant et après la journée.,Messe Berlin entrance Messedamm,,,52.500152,13.27079,work,Ajout V2
