id,name,address,category,quarter,note,photoQuery,photoUrl,photoFile,lat,lng,kind,source,photoMode,photoLocked
12,Temporary Bauhaus-Archiv / Museum für Gestaltung,"Knesebeckstraße 1, 10623 Berlin-Bezirk Charlottenburg-Wilmersdorf, Allemagne",Culture & musées,Charlottenburg,"Adresse temporaire du Bauhaus-Archiv, utile pour suivre ses expositions pendant les travaux.",Haus Hardenberg Knesebeckstraße Berlin temporary Bauhaus Archiv,,Haus Hardenberg.jpg,52.5109,13.3228,,Liste Maps + vérification V2,fixed,True
13,Bauhaus Archive,"Klingelhöferstraße 14, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,Icône Bauhaus reconnaissable à ses sheds et sa silhouette industrielle blanche.,Bauhaus Archiv Berlin,https://lonelyplanetimages.imgix.net/a/g/hi/t/818a2142ab4b21f292837b227dff0d6a-bauhaus-archiv.jpg,,52.50634,13.35385,,Liste Maps + vérification V2,fixed,True
14,Interbau Apartment House / Oscar Niemeyer,"Altonaer Str. 6, 10557 Berlin, Allemagne",Architecture & photo,Hansaviertel,"Immeuble Interbau de Niemeyer : pilotis, façade rythmée et modernisme des années 1950.",Oscar Niemeyer Haus Berlin Hansaviertel,https://images.divisare.com/images/c_limit%2Cf_auto%2Ch_2000%2Cq_auto%2Cw_3000/v1520957071/tkjjxi5ufrm41bbfb8qm/oscar-niemeyer-federico-covre-wohnhochhaus-am-hansaviertel.jpg,,52.51769,13.3443,,Liste Maps + vérification V2,fixed,True
15,Berlin-Hansaviertel,"Altonaer Str. 22, 10557 Berlin, Allemagne",Quartiers & ambiances,Hansaviertel,"Musée à ciel ouvert de l’Interbau 1957, avec Aalto, Niemeyer, Gropius et autres modernistes.",Hansaviertel Berlin Interbau,https://www.berlin.de/binaries/asset/image_assets/3520945/source/1746526004/1000x500/,,52.51912,13.34187,,Liste Maps + vérification V2,fixed,True
16,Tour radio de Berlin,"Hammarskjöldpl., 14055 Berlin, Allemagne",Architecture & photo,Westend,"Grande structure métallique du Funkturm, intéressante en contre-plongée et à l’heure bleue.",Funkturm Berlin,https://www.berlin.de/binaries/asset/image_assets/10246495/source/1772796972/1000x500/,,52.50502,13.27814,,Liste Maps + vérification V2,fixed,True
17,Klunkerkranich,"Karl-Marx-Straße 66, 12043 Berlin-Bezirk Neukölln, Allemagne",Cafés & bars,Neukölln,"Rooftop alternatif avec vue urbaine, structures bricolées et lumière de fin de journée.",Klunkerkranich Berlin Neukölln rooftop,,KlunkerkranichBerlin.jpg,52.48207,13.43133,,Liste Maps + vérification V2,fixed,True
18,Badeschiff,"Eichenstraße 4, 12435 Berlin-Bezirk Friedrichshain-Kreuzberg, Allemagne",Quartiers & ambiances,Alt-Treptow,"Piscine flottante sur la Spree, containers, eau et paysage industriel.",Badeschiff Berlin,https://jumpberlin.com/wp-content/uploads/2018/05/Badeschiff3-1067x800.jpeg,,52.49763,13.45366,,Liste Maps + vérification V2,fixed,True
19,Shell-Haus,"Reichpietschufer 60-62, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,Façade ondulée emblématique de la Nouvelle Objectivité.,Shell Haus Berlin,https://oterea.com/wp-content/uploads/2024/10/Patrizia_Shell-Haus.jpg,,52.506111,13.363306,,Liste Maps + vérification V2,fixed,True
20,Dong Xuan Center,"Herzbergstraße 128-139, 10365 Bezirk Lichtenberg, Allemagne",Quartiers & ambiances,Lichtenberg,"Halles vietnamiennes, enseignes, couleurs et atmosphère très différente du centre de Berlin.",Dong Xuan Center Berlin,https://onthegrid.city/imager/s3_amazonaws_com/onthegrid.city/assets/grid/berlin/lichtenberg/dong-xuan-center/schauschau_dong_xuan_center_1_299006722e285f47655d17d1c9136337.jpg,,52.52886,13.48947,,Liste Maps + vérification V2,fixed,True
21,St. Agnes,"Alexandrinenstraße 118-121, 10969 Berlin, Allemagne",Architecture & photo,Kreuzberg,Ancienne église brutaliste transformée en galerie : béton monumental et lumière austère.,St Agnes Berlin König Galerie,https://www.bpigs.com/files/styles/full_page/public/galleries/stagnes.jpg,,52.50074,13.40091,,Liste Maps + vérification V2,fixed,True
22,Kulturforum,"Matthäikirchplatz, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,"Ensemble culturel moderniste : espaces ouverts, musées et grands volumes.",Kulturforum Berlin Matthäikirchplatz,,"Kulturforum, Berlin.jpg",52.50846,13.36774,,Liste Maps + vérification V2,fixed,True
23,Philharmonie de Berlin,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,"Hans Scharoun : formes organiques, toiture dorée et architecture expressionniste.",Berliner Philharmonie Scharoun,https://images.divisare.com/images/c_limit%2Cf_auto%2Ch_2000%2Cq_auto%2Cw_3000/v1497691922/joc3g4qlclr1uh5pm6bo/hans-scharoun-fabrice-fouillet-berliner-philharmonie.jpg,,52.5092,13.3697,,Liste Maps + vérification V2,fixed,True
24,Kammermusiksaal - Berlin,"Herbert-von-Karajan-Straße 1, 10785 Berlin, Allemagne",Architecture & photo,Tiergarten,"Salle de musique aux volumes géométriques, complément naturel de la Philharmonie.",Kammermusiksaal Berlin architecture,https://static.where-e.com/Germany/Berlin/Kammermusiksaal-Berlin_0a3313118e35c23cb0ca247197272bdf.jpg,,52.509419,13.369053,,Liste Maps + vérification V2,fixed,True
25,Musée des arts décoratifs,"Matthäikirchplatz, 10785 Berlin, Allemagne",Culture & musées,Tiergarten,Le Kunstgewerbemuseum de Rolf Gutbrod : modernisme tardif et intérieurs graphiques.,Kunstgewerbemuseum Berlin Kulturforum,https://aws-tiqets-cdn.imgix.net/images/content/bc4e0fb4174244f38c9ffa7f7768acb6.jpg?auto=format%2Ccompress&fit=crop&q=70,,52.50978,13.36733,,Liste Maps + vérification V2,fixed,True
26,Sony-Center,"Potsdamer Platz, 10785 Berlin, Allemagne",Architecture & photo,Potsdamer Platz,"Le désormais Center am Potsdamer Platz : spectaculaire toiture tendue, verre et lumière nocturne.",Sony Center Berlin Potsdamer Platz roof,https://www.bier-genuss.berlin/wp-content/uploads/2018/11/lindenbraeu-im-sony-center-berlin-600x600.jpg,,52.51018,13.37352,,Liste Maps + vérification V2,fixed,True
27,Tempelhofer Feld,"Columbiadamm 124, 10965 Berlin, Allemagne",Quartiers & ambiances,Tempelhof,"Ancien aéroport devenu parc immense : pistes, horizon dégagé et architecture monumentale.",Tempelhofer Feld Berlin,https://berlin.adfc.de/fileadmin/Gliederungen/Pedale/berlin/_processed_/e/2/csm_Panorama3_Tempelhofer_Feld3000px_3f86c7376c.jpg,,52.473306,13.401389,,Liste Maps + vérification V2,fixed,True
28,Berghain,"Am Wriezener Bahnhof, 10243 Berlin, Allemagne",Architecture & photo,Friedrichshain,"Ancienne centrale électrique, façade industrielle monumentale et atmosphère brute.",Berghain Berlin building Am Wriezener Bahnhof,https://img.redbull.com/images/q_auto%2Cf_auto/redbullcom/2018/09/11/8f9848f7-deaf-4921-8ab9-f1b45cbacaa7/berlin-clubs-berghain,,52.51117,13.44304,,Liste Maps + vérification V2,fixed,True
29,RAW-Gelände,"Revaler Str. 99, 10245 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Friches ferroviaires, street art, briques et culture alternative.",RAW Gelände Berlin Revaler Straße,,RAW Berlin Revaler Straße.jpg,52.50708,13.45456,,Liste Maps + vérification V2,fixed,True
30,East Side Gallery,"Mühlenstraße, 10243 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Mur, fresques et longues perspectives urbaines au bord de la Spree.",East Side Gallery Berlin,https://miro.medium.com/v2/resize%3Afit%3A1200/1%2AJNdlYHz2cjQaCykQP8ScPw%402x.jpeg,,52.5031,13.4447,,Liste Maps + vérification V2,fixed,True
31,Oberbaumbrücke,"Oberbaumbrücke, 10243 Berlin, Allemagne",Architecture & photo,Friedrichshain / Kreuzberg,"Pont néogothique iconique, arches, métro et vues sur la Spree.",Oberbaumbrücke Berlin,https://tripplanet.ru/wp-content/uploads/europe/germany/berlin/oberbaum-bridge.jpg,,52.50173,13.44566,,Liste Maps + vérification V2,fixed,True
32,Paulsternstr.,"Paulsternstraße / Nonnendammallee, 13599 Berlin, Allemagne",Métro & transport,Spandau,"Station U7 très colorée des années 1980, idéale pour lignes, symétries et ambiance rétro.",U Bahnhof Paulsternstrasse Berlin,https://www.tagesspiegel.de/images/15370551/alternates/FREE_620/1773822765000/ubahn065.jpeg,,52.53806,13.24747,,Liste Maps + vérification V2,fixed,True
33,Rohrdamm,"Rohrdamm, 13629 Berlin, Allemagne",Métro & transport,Siemensstadt,"Station U7 au graphisme marqué, carreaux et esthétique industrielle.",U Bahnhof Rohrdamm Berlin,https://www.bahnbilder.de/1200/sehr-industriell-wirken-zeichnungen-auf-1062830.jpg,,52.537222,13.2625,,Liste Maps + vérification V2,fixed,True
34,James-Simon-Galerie,"Bodestraße 1-3, 10178 Berlin, Allemagne",Architecture & photo,Mitte,David Chipperfield : colonnade contemporaine et dialogue avec l’Île aux Musées.,James-Simon-Galerie Berlin Museumsinsel,,James-Simon-Galerie.jpg,52.51994,13.39711,,Liste Maps + vérification V2,fixed,True
35,Fehrbelliner Platz,"10707 Berlin, Allemagne",Métro & transport,Wilmersdorf,"Ensemble urbain et station aux couleurs fortes, typique de Berlin-Ouest.",U Bahnhof Fehrbelliner Platz Berlin,https://www.bahnbilder.de/1200/die-u-bahn-station-fehrbelliner-platz-1063187.jpg,,52.490278,13.314444,,Liste Maps + vérification V2,fixed,True
36,Marie-Elisabeth-Lüders-Haus,"Adele-Schreiber-Krieger-Straße 1, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Architecture du Bundestag au bord de la Spree, grandes lignes et ouvertures circulaires.",Marie Elisabeth Lüders Haus Berlin,https://upload.wikimedia.org/wikipedia/commons/e/ea/Marie-Elisabeth-L%C3%BCders-Haus%2C_Berlin-Mitte%2C_160328%2C_ako.jpg,,52.520306,13.377806,,Liste Maps + vérification V2,fixed,True
37,FORUM KUNST im Bundestag,"Luisenstraße 30, 10117 Berlin, Allemagne",Culture & musées,Mitte,Art contemporain au cœur du quartier parlementaire.,Marie Elisabeth Lüders Haus Forum Kunst Bundestag Berlin,https://www.architecturalsteelprofiles.com/wp-content/uploads/2021/05/M-E-Luders-Haus-structure-1.jpg,,52.52055,13.3774,,Liste Maps + vérification V2,fixed,True
38,Maison des cultures du monde,"John-Foster-Dulles-Allee 10, 10557 Berlin, Allemagne",Architecture & photo,Tiergarten,La “Schwangere Auster” : toit courbe spectaculaire et bassin réfléchissant.,Haus der Kulturen der Welt Berlin,https://www.hkw.de/magnoliaPublic/.imaging/focalpoint/_WIDTH_x_HEIGHT_/dam/jcr%3Aae56303d-9c23-4ea9-a9b3-ded7b23104ca/haus-der-kulturen-der-welt-09.jpg,,52.51874,13.36485,,Liste Maps + vérification V2,fixed,True
39,Paul Loebe Building,"Konrad-Adenauer-Straße 1, 10557 Berlin, Allemagne",Architecture & photo,Mitte,"Façades vitrées, cylindres et passerelles dans le complexe parlementaire.",Paul Löbe Haus Berlin,https://files.structurae.net/files/photos/1/paul-lobe-haus_westseite_frontalansicht_berlin-mitte_151223_ako.jpg,,52.520278,13.374722,,Liste Maps + vérification V2,fixed,True
40,Cube Berlin (3XN),"Washingtonpl. 3, 10557 Berlin, Allemagne",Architecture & photo,Hauptbahnhof,Cube de verre miroir face à la Hauptbahnhof : reflets et déformations de la ville.,Cube Berlin Washingtonplatz,,Cube Berlin.jpg,52.52355,13.36922,,Liste Maps + vérification V2,fixed,True
41,Bierpinsel,"Schloßstraße 17, 12163 Berlin, Allemagne",Architecture & photo,Steglitz,"Tour pop-futuriste des années 1970, l’un des objets architecturaux les plus étranges de Berlin.",Bierpinsel Berlin,https://files.structurae.net/files/photos/2055/p4120120.jpg,,52.461389,13.324444,,Liste Maps + vérification V2,fixed,True
42,Kantgaragenpalast,"Kant-Garage, Kantstraße 127, 10625 Berlin, Allemagne",Architecture & photo,Charlottenburg,Garage moderniste aux rampes hélicoïdales et façade industrielle.,Kant Garagen Berlin,https://berliner-zeitung.imgix.net/2022/10/06/002dcd1d-d854-4305-aeda-ce2d964dc9c6.jpeg?auto=compress&auto=format&fit=max&w=1080,,52.505806,13.311889,,Liste Maps + vérification V2,fixed,True
43,Ludwig Erhard Haus,"Fasanenstraße 85, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Architecture high-tech surnommée “Armadillo”, charpente métallique spectaculaire.",Ludwig Erhard Haus Berlin,https://grimshaw.global/assets/crops/Crop.f5e7927b.91007_n228_a3.jpg,,52.506694,13.328306,,Liste Maps + vérification V2,fixed,True
44,ICC,"Messedamm, 14055 Berlin, Allemagne",Architecture & photo,Westend,"Vaisseau spatial brutaliste/high-tech, immense et très photogénique depuis l’extérieur.",ICC Berlin architecture,https://www.berlin.de/binaries/asset/image_assets/1948612/source/1320852406/1000x500/,,52.504389,13.280611,,Liste Maps + vérification V2,fixed,True
45,Minimal Bar,"Rigaer Str. 31, 10247 Berlin-Bezirk Friedrichshain-Kreuzberg, Allemagne",Cafés & bars,Friedrichshain,"Bar berlinois décontracté, ping-pong, lumière tamisée et ambiance locale.",Minimal Bar Rigaer Straße 31 Berlin,https://image.bz-berlin.de/data/uploads/2025/05/minimal_bar_16i9-1.jpg?impolicy=article&imwidth=992,,52.5164,13.4641,,Liste Maps + vérification V2,fixed,True
46,Musée Futurium,"Alexanderufer 2, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Façade métallique, lignes futuristes et skywalk sur le toit.",Futurium Berlin architecture,https://www.brillux.ch/fileadmin/redaktion/bilder/service/referenzen/sonstige_oeffentliche_gebauede/Alexanderufer_Berlin/BX_Berlin-Alexanderufer-02.jpg,,52.524022,13.374372,,Liste Maps + vérification V2,fixed,True
47,Rüyam Gemüse Kebab,"Hauptstraße 36, 10827 Berlin, Allemagne",Manger & boire,Schöneberg,"Adresse populaire pour un döner berlinois, utile comme pause gourmande.",Rüyam Gemüse Kebap Hauptstraße 36 Berlin,https://rueyam.de/assets/img/Interior/ruyam_1_1.webp,,52.4868,13.3557,,Liste Maps + vérification V2,fixed,True
48,Rüyam Gemüse Kebab,"Schönhauser Allee 44A, 10435 Berlin-Bezirk Pankow, Allemagne",Manger & boire,Prenzlauer Berg,"Adresse populaire pour un döner berlinois, utile comme pause gourmande.",Rüyam Gemüse Kebap Schönhauser Allee 44A Berlin,https://rueyam.de/assets/img/Interior/ruyam_2_1.webp,,52.5405,13.41255,,Liste Maps + vérification V2,fixed,True
49,Deutsche Kinemathek,"Mauerstraße 79, 10117 Berlin, Allemagne",Culture & musées,Mitte,"Cinéma, photographie et archives : nouvelle implantation centrale.",E-Werk Berlin Mauerstraße 79 Deutsche Kinemathek,https://cms.museumsdienst.berlin/imager/mediafiles/gomus/museums/383168/11-02_E-Werk_Mauerstrasse_Copyright_Andreas_Nenninger__Photography_e7c665d712ec67dfe3f3524f4c64cbe9.jpg,,52.50861,13.38713,,Liste Maps + vérification V2,fixed,True
50,KAOS Berlin,"Wilhelminenhofstraße 92, 12459 Berlin-Bezirk Treptow-Köpenick, Allemagne",Quartiers & ambiances,Oberschöneweide,Espace créatif au bord de la Spree dans un environnement industriel.,Wilhelminenhofstraße 92 Oberschöneweide KAOS Berlin,https://kaosberlin.de/wp-content/uploads/slider/cache/5125dcabbc39dcafa65310bef15bbcc7/Copyright_by_David_Dollmann_Copyright_by_David_Dollmann_2017.12.06-Kaos-Hallenbilder-Mehrfachbelichtung2519.jpg,,52.462745,13.509259,,Liste Maps + vérification V2,fixed,True
51,kioski,"Köpenicker Str. 20, 10997 Berlin, Allemagne",Manger & boire,Kreuzberg,Petite adresse urbaine à garder comme halte dans la zone Kreuzberg.,kioski Köpenicker Straße 20 Berlin K67 kiosk,https://www.tagesspiegel.de/images/11696681/alternates/BASE_4_3_W1000/1716469901000/kioski-ritterstra-e.jpeg,,52.5059534,13.4324698,,Liste Maps + vérification V2,fixed,True
52,K67 BERLIN,"Leipziger Str. 61, 10117 Berlin, Allemagne",Auto & insolite,Mitte,Petit objet de design urbain/K67 à repérer pour son esthétique rétro-futuriste.,K67 Berlin Leipziger Straße 61 kiosk,https://architectuul.com/lib/content/2449_large.jpg,,52.5108,13.3999,,Liste Maps + vérification V2,fixed,True
53,Das kleine Grosz Museum,"Bülowstraße 18, 10783 Berlin, Allemagne",Culture & musées,Schöneberg,Petit musée dédié à George Grosz dans une ancienne station-service reconvertie.,Das kleine Grosz Museum Bülowstraße 18 Berlin,https://www.anneliwest.de/uploads/fotos/Das-kleine-GRosz-Museum/_1600x1081_crop_center-center/das-kleine-grosz-museum-berlin-39.jpg,,52.49786,13.35973,,Liste Maps + vérification V2,fixed,True
54,Berolinahaus,"Berolinahaus, Alexanderpl. 1, 10178 Berlin, Allemagne",Architecture & photo,Mitte,"Peter Behrens à Alexanderplatz : Nouvelle Objectivité, trame répétitive et histoire berlinoise.",Berolinahaus Alexanderplatz Berlin,,Berlin - Berolinahaus.jpg,52.5215,13.4125,,Liste Maps + vérification V2,fixed,True
55,Kath. Gemeinde St. Martin Berlin-Kaulsdorf,"Nentwigstraße 1, 12621 Berlin, Allemagne",Architecture & photo,Kaulsdorf,"Église de 1929-30 en brique, entre expressionnisme et Nouvelle Objectivité.",St Martin Kirche Berlin Kaulsdorf,https://upload.wikimedia.org/wikipedia/commons/6/68/Kirche_Heiliger_Martin_Kaulsdorf3.JPG,,52.5149,13.60363,,Liste Maps + vérification V2,fixed,True
56,Heidelberger Platz,"Heidelberger Platz, 10713 Berlin, Allemagne",Métro & transport,Wilmersdorf,"Station U-Bahn historique aux voûtes très graphiques, intéressante pour les perspectives et répétitions.",U-Bahnhof Heidelberger Platz Berlin,https://www.5.ua/media/pictures/original/290565.jpg?t=1720346192,,52.479808,13.313236,,Ajout V2,fixed,True
57,Wittenbergplatz,"Wittenbergplatz 1, 10789 Berlin, Allemagne",Métro & transport,Schöneberg,"Station historique d’Alfred Grenander : hall, typographie et détails du métro berlinois.",U-Bahnhof Wittenbergplatz Berlin,https://upload.wikimedia.org/wikipedia/commons/d/d9/Wittenbergplatz_Berlin_U-Bahnhof_1.jpg,,52.501889,13.342806,,Ajout V2,fixed,True
58,Teufelsberg,"Teufelsseechaussee 10, 14193 Berlin, Allemagne",Auto & insolite,Grunewald,"Ancienne station d’écoute : radômes, béton, street art et vues sur Berlin.",Teufelsberg Berlin listening station radomes,https://mapurbex-storage.fly.storage.tigris.dev/Berlin-01K9PG101YN7JN59A3FHM94GH1.jpg,,52.497368,13.240597,,Ajout V2,fixed,True
59,Akademie der Künste – Hanseatenweg,"Hanseatenweg 10, 10557 Berlin, Allemagne",Architecture & photo,Hansaviertel,"Architecture moderniste de l’Interbau, patios, transparences et volumes bas.",Akademie der Künste Hanseatenweg Berlin,https://www.bruecke-museum.de/images/DS_1a.jpg?w=2000,,52.517889,13.346111,,Ajout V2,fixed,True
60,Ernst-Reuter-Platz,"Ernst-Reuter-Platz, 10587 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Grand ensemble moderniste circulaire, circulation, façades et perspectives urbaines.",Ernst Reuter Platz Berlin architecture,https://berliner-zeitung.imgix.net/2023/06/23/c18f9e35-9ac5-4a1a-a248-0ddc36031dc6.jpeg?auto=compress&auto=format&fit=max&rect=0%2C3%2C2835%2C1890&w=1880,,52.512639,13.321889,,Ajout V2,fixed,True
61,Bikini Berlin,"Budapester Str. 38-50, 10787 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Modernisme réhabilité, grandes baies et vues vers le zoo et Breitscheidplatz.",Bikini Berlin building,https://www.area-arch.it/wp-content/uploads/sites/6/2024/01/UAU_collectiv_bikini_berlin_23-1024x663.jpg,,52.505389,13.336194,,Ajout V2,fixed,True
62,Upper West,"Kantstraße 163-165, 10623 Berlin, Allemagne",Architecture & photo,Charlottenburg,"Tour contemporaine très graphique, lignes verticales et contraste avec l’église du Souvenir.",Upper West Berlin tower,https://www.german-architects.com/images/CmsPageElementImage/61/26/38/589744f9d874495aaf4e48580ab566b6/589744f9d874495aaf4e48580ab566b6.f5fb7444.jpg,Berlin - Upper West.jpg,52.5059,13.3327,,Ajout V2,fixed,True
63,silent green Kulturquartier,"Gerichtstraße 35, 13347 Berlin, Allemagne",Culture & musées,Wedding,"Ancien crématorium reconverti en lieu culturel : symétrie, coupole et atmosphère singulière.",silent green Kulturquartier Berlin,https://weareplaygrounds.nl/content/uploads/2025/04/silent_green_header-1000x563.png,,52.54569,13.36628,,Ajout V2,fixed,True
64,DARK MATTER,"Köpenicker Chaussee 46, 10317 Berlin, Allemagne",Culture & musées,Lichtenberg,Installations de lumière immersives : intéressant pour une parenthèse visuelle très graphique.,DARK MATTER Berlin Köpenicker Chaussee,https://www.proaudio.de/images/stories/reports/holoplot_dark-matter/IMG_1813.jpg,,52.4943,13.4947,,Ajout V2,fixed,True
65,Deutsches Historisches Museum – Pei-Bau,"Hinter dem Gießhaus 3, 10117 Berlin, Allemagne",Architecture & photo,Mitte,"Extension d’I. M. Pei : verre, pierre et escalier hélicoïdal très photogénique.",Pei Bau Deutsches Historisches Museum Berlin,https://www.dhm.de/blog/wp-content/uploads/2023/07/09_DHM_Ausstellungshalle-c-Ulrich-Schwarz.jpg,,52.5177,13.3967,,Ajout V2,fixed,True
66,Motorwerk Berlin,"An der Industriebahn 12, 13088 Berlin, Allemagne",Architecture & photo,Weißensee,"Grande halle industrielle en brique, charpente et proportions monumentales.",Motorwerk Berlin Weißensee,https://static.wixstatic.com/media/d94012_6665337fb4b54a70a57fa73b5f515da5~mv2.jpg/v1/fill/w_980%2Ch_654%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/d94012_6665337fb4b54a70a57fa73b5f515da5~mv2.jpg,,52.563592,13.461189,,Ajout V2,fixed,True
67,Napoleon Komplex,"Modersohnstraße 35-45, 10245 Berlin, Allemagne",Quartiers & ambiances,Friedrichshain,"Ancien complexe industriel devenu lieu culturel, entre briques, cour et ambiance alternative.",Napoleon Komplex Berlin,https://www.berlin-cuisine.com/media/img_820_533/berlincuisine_napoleonkomplex_eventloaction_1.jpg,,52.50358,13.45853,,Ajout V2,fixed,True
68,Kühlhaus Berlin,"Luckenwalder Str. 3, 10963 Berlin, Allemagne",Architecture & photo,Kreuzberg,"Ancien entrepôt frigorifique monumental près de Gleisdreieck, volumes industriels très forts.",Kühlhaus Berlin Luckenwalder Straße,https://denkmaldatenbank.berlin.de/media/uploads/Kre/01/09031193a.jpg,"Kühlhaus am Gleisdreieck, Luckenwalder Straße 3, Berlin-Kreuzberg-40660.jpg",52.49965,13.37648,,Ajout V2,fixed,True
69,Malzfabrik,"Bessemerstraße 2-14, 12103 Berlin, Allemagne",Architecture & photo,Tempelhof,"Patrimoine industriel de brique, cheminées, cours et reconversion créative.",Malzfabrik Berlin,https://natural-touring.de/wp-content/gallery/malzfabrik/11.jpg,,52.46659,13.36532,,Ajout V2,fixed,True
